id,title,artist,duration,audio_url,cover_art_url,user_id,created_at,updated_at,lyrics_url,image_url,cover_url,genre,is_nft,play_count,likes_count,trending_score
5ae8a5da-0247-4414-91ab-b3b0fbd4da5e,With_You,Davido_Ft_Omah_Lay,136,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102374323_Davido_Ft_Omah_Lay_-_With_You.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 19:59:43.061515+00,2025-09-05 19:59:43.061515+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102379002_Davido - With You (feat. Omah Lay).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102379877_with you.jpg,Afro,false,0,0,0
a95e4838-46cd-4845-adb8-5cab839fd3e3,Million-Little-Miracles,Elevation-Worship-Maverick-City,406,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102658144_Elevation-Worship-Maverick-City-Million-Little-Miracles.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 20:04:29.816075+00,2025-09-05 20:04:29.816075+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102665424_Elevation Worship - Million Little Miracles.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102666403_million littlemiracles.jpg,Gospel,false,0,0,0
5dcb43ab-3cf1-49c1-aee7-02f7e471deb9,What_A_Beautiful_Name,Hillsong_Worship,343,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102778310_Hillsong_Worship_What_A_Beautiful_Name_(thinkNews.com.ng).mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 20:06:27.096789+00,2025-09-05 20:06:27.096789+00,null,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757102783551_what a beautiful name.jpg,Gospel,false,0,0,0
ab9865b8-25db-422e-8da9-8d006176d5d6,No Role Modelz,J. Cole,293,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757110235153_No Role Modelz HipHopKit.com_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 22:10:48.78523+00,2025-09-05 22:10:48.78523+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757110244675_J. Cole - No Role Modelz.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757110245459_no rolemodelz.jpg,Hip Hop,false,0,0,0
4e3a575c-1ae3-4e00-998e-0b7e9008b80d,Baby (karaoke),Rema,164,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757110508188_Baby (Is it a Crime) val9ja.com_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-05 22:15:17.411014+00,2025-09-05 22:15:17.411014+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757110513010_Rema - Baby (Is it a Crime).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757110513910_baby.jpg,Afro,false,0,0,0
c903d18b-3107-4619-a393-8c099c0d3714,Intentions,Justin_BieberftQuavo,225,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256116263_Justin_Bieber_-_Intentions_ft_Quavo_talkglitz.tv.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 14:42:07.053402+00,2025-09-07 14:42:07.053402+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256123108_Justin Bieber - Intentions (feat. Quavo).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256124195_intentions.jpg,Pop,false,0,0,0
f1e3309f-9be7-476f-b209-2cce16f76b6f," Not Like Us",Kendrick Lamar,274,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256341416_Kendrick Lamar - Not Like Us.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 14:45:50.113642+00,2025-09-07 14:45:50.113642+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256346650_Kendrick Lamar - Not Like Us.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256347646_not like us.jpg,Hip Hop,false,0,0,0
ba1dd304-0394-4b25-a466-a8139c007d8d,Lockdown,Koffee,180,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256544372_Koffee-Lockdown.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 14:49:12.106941+00,2025-09-07 14:49:12.106941+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256548506_Koffee - Lockdown.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256549337_lockdown.jpg,R&B,false,0,0,0
83f48cce-b014-4402-9fad-546917075d4e,Favour,Lawrence_Oyor,357,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256678224_Lawrence_Oyor_-_Favour_CeeNaija.com_.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 14:51:28.399465+00,2025-09-07 14:51:28.399465+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256684879_Lawrence Oyor - Favour.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256685720_favour.jpg,Gospel,false,0,0,0
5b541a2f-1c4e-4959-8054-50fb718615ac,Chinwo-From-The-Rising,Mercy-Chinwo,256,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256869155_Mercy-Chinwo-From-The-Rising-(TrendyBeatz.com).mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 14:54:38.123869+00,2025-09-07 14:54:38.123869+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256874836_Mercy Chinwo - From the Rising.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757256875679_from the rising.jpg,Gospel,false,0,0,0
